,Unnamed: 0,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded,year_YYYY,month_MM
35,35,2019-09-01,9,2,2,2,0,23,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2019,8
36,36,2019-11-01,23,5,3,7,0,0,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2019,10
37,37,2020-01-01,11,2,2,2,0,2,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2020,0
38,38,2018-12-01,8,1,1,4,0,17,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2018,11
39,39,2019-04-01,24,3,3,3,0,16,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2019,3
40,40,2018-11-01,13,2,2,2,0,31,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2018,10
41,41,2018-10-01,13,4,3,3,0,26,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2018,9
42,42,2019-03-01,22,5,2,9,0,22,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2019,2
43,43,2018-06-01,28,0,0,0,0,49,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2018,5
44,44,2019-02-01,23,3,3,4,0,16,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2019,1
45,45,2018-09-01,20,5,5,6,0,20,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2018,8
46,46,2019-12-01,10,1,1,1,0,2,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2019,11
47,47,2019-10-01,13,1,1,1,0,0,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2019,9
48,48,2019-01-01,17,5,2,10,0,19,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2019,0
49,49,2019-06-01,23,1,1,4,0,34,1002.0,Rural,1.0,Control,0.0,1.5454545,0.0,0.0,0.0,0.0,0.0,2019,5
50,50,2019-08-01,39,6,5,7,0,10,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,7
51,51,2019-04-01,52,5,4,5,0,5,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2019,3
52,52,2020-02-01,52,14,6,26,0,1,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2020,1
53,53,2018-05-01,66,3,2,3,0,81,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2018,4
54,54,2018-08-01,45,0,0,0,0,42,1003.0,Rural,1.0,Control,0.0,1.0909091,0.0,0.0,0.0,0.0,0.0,2018,7
