,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded
136,2020-05-01,23,8,3,12,3,55,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0
138,2020-03-01,33,15,9,16,2,17,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0
142,2019-07-01,44,15,10,17,0,44,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0
144,2019-08-01,33,9,8,10,1,30,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0
146,2020-02-01,30,2,2,4,8,0,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0
147,2019-12-01,25,12,5,10,2,1,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0
148,2020-01-01,21,8,5,11,2,5,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0
149,2019-11-01,27,7,4,10,1,1,1006.0,Rural,1.0,Treatment,9.0,3.9738562,2.31,0.0,1.0,0.0,1.0
200,2020-01-01,29,0,0,0,0,2,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
203,2020-05-01,17,0,0,0,0,3,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
204,2019-06-01,32,2,2,0,0,1,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
205,2020-04-01,17,0,0,0,0,0,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
207,2019-07-01,39,3,3,4,0,4,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
208,2019-11-01,25,1,1,1,0,2,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
211,2019-09-01,35,0,0,0,0,2,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
212,2020-03-01,25,1,1,1,0,3,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
216,2019-08-01,30,1,1,1,0,3,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
219,2019-12-01,15,0,0,0,0,4,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
221,2020-02-01,37,2,2,2,0,2,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
223,2019-10-01,40,0,0,0,0,3,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
224,2019-05-01,31,3,3,3,0,3,1009.0,Rural,1.0,Treatment,5.0,1.5539216,0.0,1.0,0.0,0.0,1.0
230,2020-02-01,26,5,5,8,0,1,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
231,2019-05-01,20,2,2,2,0,0,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
232,2019-06-01,25,6,4,7,0,0,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
233,2019-08-01,18,6,2,11,0,4,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
234,2019-10-01,17,3,3,3,0,8,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
237,2019-07-01,17,2,1,5,0,4,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
238,2019-11-01,19,5,4,6,0,5,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
241,2019-12-01,17,3,2,8,1,10,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
243,2020-04-01,25,4,2,7,0,2,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
244,2020-03-01,23,4,2,12,0,2,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
245,2020-05-01,17,5,1,8,0,4,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
248,2019-09-01,28,3,3,4,0,0,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
249,2020-01-01,22,2,2,2,0,8,1010.0,Rural,1.0,Treatment,9.0,3.765504,2.15,1.0,0.0,0.0,1.0
250,2019-08-01,14,7,4,1,0,23,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
251,2019-09-01,13,9,5,3,0,17,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
255,2020-03-01,13,4,3,0,1,17,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
257,2020-04-01,14,6,2,1,0,15,2011.0,Rural,2.0,Treatment,9.0,3.77907,2.16,0.0,1.0,0.0,1.0
