,month,fir_overall_count,fir_caw_count,fir_bywomen_count,arrest_count,dir_count,ncr_count,ps_code,urban,dist_urban,treatment,implement_quality,training_score,comm_outreach_strength,regular_whd,women_whd,urban_encoded,treatment_encoded
574,2019-05-01,30,6,3,4,2,87,3023.0,Urban,4.0,Treatment,7.0,3.7179487,2.15,1.0,0.0,1.0,1.0
576,2020-05-01,66,0,0,0,0,23,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
580,2019-12-01,29,2,1,0,0,35,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
584,2019-09-01,10,2,2,1,0,25,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
586,2019-05-01,13,0,0,0,0,33,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
587,2019-06-01,16,4,4,2,0,22,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
588,2019-10-01,25,0,0,0,0,47,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
589,2019-11-01,24,0,0,0,0,42,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
591,2020-03-01,24,2,2,0,0,40,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
592,2019-08-01,20,1,1,1,0,19,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
595,2020-01-01,31,0,0,0,0,26,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
596,2020-02-01,23,1,1,0,0,33,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
598,2020-04-01,35,0,0,0,0,6,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
599,2019-07-01,20,1,1,0,0,28,3024.0,Urban,4.0,Treatment,7.0,3.8541226,2.25,1.0,0.0,1.0,1.0
600,2020-04-01,46,0,0,0,0,11,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
601,2019-09-01,42,7,5,5,0,34,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
602,2019-06-01,66,4,4,5,0,50,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
606,2020-01-01,40,4,3,4,0,48,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
607,2019-07-01,48,3,2,3,0,46,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
609,2019-11-01,51,3,3,3,0,37,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
612,2019-05-01,54,1,1,2,0,39,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
614,2019-08-01,38,1,1,1,0,46,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
616,2020-03-01,35,2,1,6,0,43,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
619,2020-02-01,36,1,1,1,0,41,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
620,2020-05-01,74,2,2,1,0,26,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
622,2019-10-01,48,3,3,3,0,54,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
624,2019-12-01,28,0,0,0,0,60,3025.0,Urban,4.0,Treatment,8.0,2.3077922,1.2,1.0,0.0,1.0,1.0
626,2019-09-01,24,5,3,0,3,88,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
627,2020-01-01,22,2,2,0,10,74,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
628,2020-03-01,24,4,3,3,1,72,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
629,2019-06-01,28,4,2,0,0,76,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
631,2019-11-01,31,5,3,2,2,76,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
632,2019-10-01,23,3,1,2,5,63,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
634,2019-07-01,27,6,3,1,0,65,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
638,2019-08-01,27,5,4,2,0,62,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
642,2019-12-01,16,0,0,0,2,73,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
643,2020-05-01,104,3,2,0,5,48,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
645,2020-02-01,16,4,4,4,14,89,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
646,2019-05-01,36,3,3,2,0,64,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
649,2020-04-01,86,8,3,1,0,46,3026.0,Urban,4.0,Treatment,8.0,1.2875,2.15,1.0,0.0,1.0,1.0
650,2019-12-01,38,2,2,3,0,76,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
652,2020-03-01,34,4,3,6,0,62,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
654,2019-10-01,71,4,3,5,1,62,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
658,2019-07-01,67,7,2,7,0,111,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
660,2019-05-01,78,14,7,14,0,134,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
661,2020-02-01,40,3,3,2,0,84,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
663,2019-11-01,49,4,3,3,0,81,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
666,2020-05-01,92,8,5,5,0,105,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
668,2019-09-01,45,4,4,3,0,80,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
670,2019-06-01,71,8,5,6,0,108,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
671,2020-04-01,41,1,1,0,0,82,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
673,2019-08-01,50,7,3,9,0,82,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
674,2020-01-01,44,3,2,1,1,64,3027.0,Rural,3.0,Treatment,5.0,2.4,1.04,0.0,1.0,0.0,1.0
700,2020-01-01,29,2,2,1,0,43,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
701,2019-05-01,25,6,5,9,0,47,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
704,2019-09-01,12,2,2,6,0,32,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
707,2019-08-01,35,5,4,18,0,35,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
708,2020-05-01,38,4,2,11,0,59,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
709,2019-07-01,17,2,1,5,0,41,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
710,2019-06-01,22,3,3,5,0,55,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
711,2019-10-01,25,2,2,2,0,25,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
713,2019-12-01,24,4,3,2,0,48,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
715,2020-02-01,19,2,2,1,0,51,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
716,2020-03-01,31,3,2,3,0,39,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
717,2019-11-01,18,1,1,1,0,37,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
721,2020-04-01,40,3,3,5,0,20,3029.0,Rural,3.0,Treatment,3.0,2.5555556,0.01,1.0,0.0,0.0,1.0
726,2019-07-01,27,4,3,4,0,61,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
727,2019-05-01,25,8,5,6,0,43,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
728,2020-03-01,29,5,5,3,10,37,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
729,2020-02-01,26,9,5,4,22,52,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
731,2019-11-01,19,7,5,3,4,28,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
735,2019-09-01,27,9,5,11,0,30,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
738,2020-04-01,49,5,4,4,0,24,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
740,2019-06-01,32,15,7,17,0,58,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
742,2019-12-01,28,9,6,7,17,35,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
745,2019-08-01,29,4,2,2,0,35,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
746,2020-05-01,78,5,3,2,0,37,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
747,2020-01-01,32,10,5,2,10,31,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
749,2019-10-01,29,12,4,12,0,35,3030.0,Urban,4.0,Treatment,7.0,1.25,1.2,0.0,1.0,1.0,1.0
775,2020-04-01,62,2,1,0,0,16,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
776,2019-11-01,29,1,1,1,4,58,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
778,2019-10-01,40,1,1,0,0,77,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
779,2019-06-01,47,2,2,0,2,87,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
780,2020-01-01,43,7,5,4,10,72,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
785,2020-02-01,27,1,1,0,5,61,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
788,2019-09-01,25,1,1,0,1,63,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
790,2019-05-01,52,5,3,2,4,75,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
791,2019-12-01,46,6,5,3,3,53,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
792,2019-07-01,48,1,1,0,3,105,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
795,2020-05-01,152,1,1,0,0,44,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
797,2019-08-01,46,3,2,0,2,73,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
798,2020-03-01,31,1,1,0,0,61,3032.0,Urban,4.0,Treatment,8.0,3.4333332,1.5,0.0,1.0,1.0,1.0
800,2020-01-01,58,5,4,1,3,68,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
801,2019-07-01,64,12,6,10,1,94,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
802,2020-05-01,143,0,0,0,1,26,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
804,2019-06-01,73,10,4,4,0,75,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
806,2019-10-01,34,4,3,0,0,70,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
808,2019-11-01,37,0,0,0,0,60,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
809,2019-05-01,58,4,3,0,0,94,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
815,2020-04-01,83,0,0,0,1,11,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
816,2019-12-01,34,4,3,0,1,79,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
818,2019-08-01,47,4,3,0,1,58,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
819,2019-09-01,60,3,3,2,0,64,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
822,2020-03-01,49,2,2,0,3,78,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
824,2020-02-01,49,2,1,0,4,60,3033.0,Urban,4.0,Treatment,7.0,4.1625,2.3,1.0,0.0,1.0,1.0
825,2020-04-01,162,0,0,0,0,12,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
826,2019-11-01,40,3,3,2,1,52,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
827,2019-08-01,49,2,1,0,0,37,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
829,2019-07-01,19,3,3,2,1,49,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
830,2019-12-01,32,2,1,2,2,42,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
832,2019-09-01,34,0,0,0,1,33,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
835,2019-05-01,32,3,3,3,0,51,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
837,2020-02-01,37,4,3,7,2,49,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
840,2019-10-01,38,4,3,3,2,53,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
842,2020-01-01,51,4,3,4,1,53,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
843,2019-06-01,45,6,3,3,0,73,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
846,2020-03-01,32,1,1,0,1,46,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
848,2020-05-01,174,1,0,0,0,22,3034.0,Urban,4.0,Treatment,6.0,1.1818182,1.05,0.0,1.0,1.0,1.0
850,2019-11-01,58,2,1,0,19,85,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
851,2019-05-01,88,5,4,1,3,115,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
852,2020-03-01,51,0,0,0,11,104,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
854,2019-12-01,43,1,1,1,15,96,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
855,2019-08-01,59,3,2,0,3,91,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
858,2019-07-01,66,4,4,3,3,75,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
861,2020-05-01,61,5,2,0,0,73,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
862,2019-06-01,87,7,5,1,3,109,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
865,2020-04-01,75,0,0,0,0,38,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
867,2020-01-01,60,2,2,3,30,95,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
869,2019-10-01,65,3,3,1,4,104,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
871,2019-09-01,66,3,3,1,2,92,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
873,2020-02-01,47,6,3,4,14,107,3035.0,Urban,4.0,Treatment,6.0,1.1,1.1,1.0,0.0,1.0,1.0
879,2019-12-01,38,1,1,1,0,105,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
880,2020-03-01,38,2,2,2,0,91,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
881,2020-02-01,49,0,0,0,0,114,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
884,2020-04-01,100,0,0,0,0,31,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
885,2019-05-01,57,3,3,4,0,101,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
886,2020-01-01,59,3,3,8,0,115,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
887,2019-08-01,59,3,2,3,0,77,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
888,2019-10-01,48,2,2,1,0,102,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
890,2019-07-01,62,1,1,1,0,126,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
892,2019-09-01,39,1,1,1,0,89,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
895,2020-05-01,101,0,0,0,0,68,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
897,2019-11-01,41,1,1,0,0,88,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
898,2019-06-01,70,4,4,1,0,99,3036.0,Urban,4.0,Treatment,8.0,2.4520886,2.03,1.0,0.0,1.0,1.0
929,2019-05-01,95,3,3,2,2,125,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
931,2019-09-01,53,3,3,2,1,80,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
932,2019-07-01,83,1,1,0,5,104,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
933,2020-01-01,58,1,1,0,2,112,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
934,2019-11-01,72,1,1,1,3,97,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
937,2020-05-01,223,2,2,0,0,67,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
939,2020-02-01,43,2,2,1,0,116,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
941,2019-06-01,74,3,3,5,2,114,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
942,2020-03-01,82,3,2,1,0,98,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
943,2019-10-01,64,0,0,0,4,124,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
945,2019-08-01,64,1,1,0,0,97,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
947,2019-12-01,45,2,2,1,4,111,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
949,2020-04-01,235,1,1,0,0,26,3038.0,Urban,4.0,Treatment,7.0,2.4,1.8,0.0,1.0,1.0,1.0
950,2020-05-01,48,4,2,1,0,28,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
953,2019-10-01,41,0,0,0,2,37,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
957,2019-08-01,35,2,2,1,1,28,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
958,2019-09-01,33,1,1,0,0,38,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
959,2020-01-01,41,2,2,0,4,33,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
961,2019-07-01,41,0,0,0,3,41,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
963,2019-06-01,66,4,3,4,0,24,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
964,2020-04-01,25,0,0,0,0,11,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
965,2019-12-01,45,3,3,2,1,32,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
967,2020-03-01,32,4,3,1,2,40,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
969,2019-11-01,37,2,2,3,1,26,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
971,2019-05-01,57,3,2,3,0,32,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
973,2020-02-01,46,1,1,1,4,26,3039.0,Urban,4.0,Treatment,6.0,3.5511365,0.08,0.0,1.0,1.0,1.0
1025,2019-07-01,50,5,4,3,0,70,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1027,2020-05-01,117,3,2,1,5,49,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1029,2020-03-01,39,2,2,1,10,44,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1031,2019-09-01,33,5,3,4,0,76,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1032,2020-04-01,91,1,1,0,0,20,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1033,2020-01-01,54,5,4,4,20,76,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1034,2019-12-01,55,4,3,2,5,87,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1037,2019-11-01,66,4,4,3,3,75,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1040,2020-02-01,59,5,4,2,10,56,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1041,2019-08-01,43,2,2,2,0,78,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1043,2019-10-01,71,6,4,5,1,80,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1044,2019-06-01,88,12,6,9,0,71,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1048,2019-05-01,83,5,3,2,0,69,3042.0,Urban,4.0,Treatment,8.0,2.4,2.29,0.0,1.0,1.0,1.0
1076,2019-06-01,66,8,6,1,0,69,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1078,2019-05-01,59,5,3,1,0,77,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1079,2019-10-01,68,6,3,1,0,62,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1080,2020-04-01,93,1,1,0,0,16,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1081,2020-03-01,39,2,2,0,0,74,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1084,2019-11-01,36,5,3,1,0,40,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1085,2020-05-01,142,1,1,0,0,37,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1087,2020-02-01,55,8,4,0,0,89,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1090,2019-07-01,66,8,3,0,0,75,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1091,2019-09-01,42,1,1,1,0,56,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1092,2020-01-01,55,4,4,1,0,71,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1098,2019-12-01,49,4,3,2,0,64,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1099,2019-08-01,60,5,5,1,0,43,3044.0,Urban,4.0,Treatment,7.0,1.4,2.3,0.0,1.0,1.0,1.0
1153,2019-08-01,66,3,3,5,0,74,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1154,2020-01-01,47,1,1,0,6,80,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1155,2020-05-01,120,4,4,4,19,31,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1156,2019-06-01,86,2,2,0,0,111,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1158,2019-05-01,72,1,1,1,0,95,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1160,2019-07-01,63,3,2,2,0,79,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
1161,2020-02-01,51,2,2,1,19,79,3047.0,Urban,4.0,Treatment,6.0,2.1666667,1.0,1.0,0.0,1.0,1.0
